Pos,Jugador,Equipo,Goles
1,Kylian Mbappé,,31
2,Robert Lewandowski,,27
3,Ante Budimir,,21
4,Alexander Sørloth,,20
5,Ayoze Pérez,,19
6,Raphinha,,18
7,Julián Alvarez,,17
8,Oihan Sancet,,15
9,Kike García,,13
10,Javi Puado,,12
11,Vinicius Junior,,11
12,Thierno Barry,,11
13,Borja Iglesias,,11
14,Hugo Duro,,11
15,Dodi Lukébakio,,11
16,Cristhian Stuani,,11
17,Ferran Torres,,10
18,Iago Aspas,,10
19,Dani Olmo,,10
20,Fábio Silva,,10
21,Mauro Arambarri,,10
22,Lamine Yamal,,9
23,Jude Bellingham,,9
24,Isco,,9
25,Mikel Oyarzabal,,9
